title,description
Negativação indevida,"Realizei o pagamento da minha divida junto a banco, a vista através de um acordo pela app que o próprio banco geral, porém o ..."
Não recebi e-mail de confirmação,Troquei de aparelho celular e tentei configurar minha conta no novo. Preenchi minhas informações e recebi a mensagem de que e...
Reativar cartão de crédito,"Olá meu cartão está cancelado mas sou um ótimo cliente todas as faturas pagas, recentemente recebi um e-mail para ativação d..."
Banco me empresta meu proprio dinheiro e cobra juros abusivos,"Apliquei uma quantia em um CDB,tendo esta como limite de gastos e como https://*******,porem,que o Banco simplesmente no dia ..."
[Editado pelo Reclame Aqui] pix,"Prezados,Escrevo para relatar um incidente de [Editado pelo Reclame Aqui] ocorrido recentemente em uma transação ..."
Cancelamento renegociação de fatura,"Fiz uma renegociação de parcelamento de fatura , mas me arrependi. O atendente disse que não posso cancelar , mas segundo o a..."
Nome no banco central,"Olha eu atrasei minha conta, meu cartão foi cancelado, e desde então não paguei pois fiquei desempregado, então cancelaram me..."
Pagamento da fatura não consta,"Realizei o pagamento de parte da fatura do próximo mês, o dinheiro foi debitado da minha conta, mas o pagamento não consta na..."
Eu gostaria de reativar o meu cartão pois eu tive uma conta atrasada da minha fatura só que eu já paguei tudo está tudo quitado então eu gostaria de reativar pra mim poder usar o meu limite,Eu gostaria após meu cartão ser cancelado eu gostaria de reativar por trás de fatura mas já está tudo quitado está tudo em di...
Alguém fez uma compra de 10 reías no meu cartão virtual.,"Hoje, acordei pela manhã e recebi uma notificação de que alguém, às 5:40 da manhã, chamado SBR fez uma compra no crédito de 1..."
Juros indevido,"Observei que há uma multa de atraso de fatura, porém já tinha pago a minha fatura no dia do vencimento e o sistema não contab..."
Redução de limite,"Mês de dezembro para janeiro apguri a fatura é para minha surpresa não obtive o retorno do crédito, esse mês em especificame..."
Informe Rendimentos de 2024,"Hoje é dia 28/02/2025, o informe rendimentos de 2024 ainda não chegou no aplicativo, só aparece o de 2023."
Cartão adicional,"Prezados, Emiti um cartão adicional em nome da minha mãe de 89 anos. Acontece que no cadastro do apli..."
Solicito que retire meu nome do registrado uma vez que fiz o pagamento dos meus valores,Fiz o pagamento do valor mais meu nome ainda esta no registrado solicito que retire urgentemente por favor
Divida,"Estou com uma divida ativa com o nubank e tenho uma oferta para acertar essa pendência. No atual cenário econômico, não tenho..."
Cartão crédito,"No mês de janeiro um atendente do banco nubank no chat, me falou que se eu pagasse 5 reais do cartão de crédito ele seria des..."
Reativar cartão de crédito,"Cancelei meu cartão por motivos pessoais, mais agora gostaria de reativar e resgatar meu limite de crédito, já tentei uma nov..."
Nubank aumentar meu limite,"Nubank,sempre que possível acho que poucas vezes ocorreu pago tudo no prazo uso meu limite (que ja é pouco pelo o que eu ganh..."
Meu cartão está cancelado mesmo com a fatura paga,Então meu cartão de crédito foi cancelado após a demora do pagamento
Tempo de espera para ser aceito,"Sou cliente nubank a bastante, tenho vários investimentos na conta, por causa disso solicitei o ultravioleta a bastante tempo..."
Funcionário despreparado contestou uma compra sem autorização e me prejudicou,Boa noite. No dia 11 abri um chamado aqui reclamando que vocês não tinham tirado o valor da minha fatura que a Amazon já tinh...
BLOQUEIO INDEVIDO DE CONTA,"Hoje 27/02/2025 a NUBANK bloqueou minha conta pessoa física, estou no exterior e preciso pagar conta de hotel e infelizmente ..."
Bloqueio de segurança nubank,eu emito notas fiscais presto serviços para bancos pago meus impostos em dia tudo comprovado com contratos e darfs dentro da ...
Capital de giro difícil de ser contratado.,"Hoje eu fui abrir minha conta PJ no Sicredi e mesmo demorando um pouco pra abir por ser cooperativa, já foi me falado da poss..."
Limite congelado,Na pandemia acabei que por forças maiores não conseguindo efetuar o pagamento da minha fatura da nubank mas no dia 23 de outu...
Preciso entrar num acordo para finalizar meus débitos no desenrola Brasil. Porém já tentei e eles dizem que não existe pendências eu sei que eu devo porém não consegui negociar. No momento não estou trabalhando pq cuido da minha mãe ela teve um AVC.,Eles não querem negociar dividas comigo preciso de ajuda. Por favor. Qro meu nome https://******* restrições
Funcionário despreparado contestou uma compra sem autorização e me prejudicou,Boa noite. No dia 11 abri um chamado aqui reclamando que vocês não tinham tirado o valor da minha fatura que a Amazon já tinh...
BLOQUEIO INDEVIDO DE CONTA,"Hoje 27/02/2025 a NUBANK bloqueou minha conta pessoa física, estou no exterior e preciso pagar conta de hotel e infelizmente ..."
Bloqueio de segurança nubank,eu emito notas fiscais presto serviços para bancos pago meus impostos em dia tudo comprovado com contratos e darfs dentro da ...
Capital de giro difícil de ser contratado.,"Hoje eu fui abrir minha conta PJ no Sicredi e mesmo demorando um pouco pra abir por ser cooperativa, já foi me falado da poss..."
Limite congelado,Na pandemia acabei que por forças maiores não conseguindo efetuar o pagamento da minha fatura da nubank mas no dia 23 de outu...
Preciso entrar num acordo para finalizar meus débitos no desenrola Brasil. Porém já tentei e eles dizem que não existe pendências eu sei que eu devo porém não consegui negociar. No momento não estou trabalhando pq cuido da minha mãe ela teve um AVC.,Eles não querem negociar dividas comigo preciso de ajuda. Por favor. Qro meu nome https://******* restrições
Juros de mais,Atrasei a conta dois dias já me colocaram um juros absurdo . Não tem facilifade nem uma pro cliente
"Estorno de pix, retido","Hoje, dia 27/02/2025, eu peguei um empréstimo na função pix, pois precisava pagar um compromisso que fiz na reforma do meu so..."
Agendamento para pagar boleto,"Iniciei um pagamento para um boleto no app do nubank. Conferir todos os dados, tudo ok. No final para confirmar o pagamento, ..."
Dúvida!!!,"Olá, eu gostaria de criar uma conta no Nubank, sou maior de idade, porém, quando fui tentar fazer uma conta dizem que fui apr..."
Dúvida!!!,"Olá, eu gostaria de criar uma conta no Nubank, sou maior de idade, porém, quando fui tentar fazer uma conta dizem que fui apr..."
Nubank Cancelou Meu Seguro de Vida Sem Aviso!,"Tenho um seguro de vida contratado no Nubank desde 2021 e, sem qualquer aviso prévio, ele foi cancelado no dia 25/02/2025. Se..."
Comprovante de Rendimentos 2024 - Nuinvest,"Era cliente da antiga Nuinvest, e optei por não abrir conta na Nubank, e portanto migrei investimentos.No entanto, nece..."
LIMITE NÃO AUMENTA,"Faz muito tempo que meu limite permanece congelado, sem aumento, mesmo depois de eu ter enviado meu contracheque. Eu sou serv..."
Tentei cancelar o empréstimo em menos de 24 horas e não deixaram,Tentei cancelar o empréstimo do Nubank Em menos 24h00 o empréstimo que eu não fiz Porém fiz a reclamação Eles falaram que ia ...
Falta de análise,"Assunto: Solicitação de Análise para Crédito PessoalOlá, equipe Nubank, tudo bem?Sou cliente de vocês..."
Sumiço de dinheiro do saldo da conta,"Agora no mês de fevereiro de 2025, notei que está faltando R$ 25,25 na minha conta, sem que haja algum lançamento negativo qu..."
Cartão de crédito,Oi boa noite poderia reativar meu cartão de crédito
Bloquearam minha conta sem motivos,"Fui usar minha conta e deu erro na transferência pix , depois tentei um novo pagamento que também deu erroEntrei em con..."
Cancelaram minha conta após uma contestação,"Vamos lá, fizeram uma contestação na minha conta, o serviço foi prestado, eu tenho o comprovante tudo certinho, até entrei em..."
