title,description,categoria,titulo_limpo,descricao_limpa,tokens_titulo,tokens_descricao,sentimento_titulo,sentimento_descricao
Renegociação,"Estou com uma dívida no cartão que ainda não negativou meu cpf, entrei em contato com o Nubank á um tempo atrás para ...",Outros,renegociação,estou com uma dívida no cartão que ainda não negativou meu cpf entrei em contato com o nubank á um tempo atrás para,['renegoci'],"['dív', 'cart', 'aind', 'negativ', 'cpf', 'entr', 'contat', 'nubank', 'temp', 'atrás']",1,1
Pix e transação que foi feito errado,"Boa noite ,fiz uma transação para uma conta bancária por erro meu que não existe mais e não ganhei nenhum suporte da parte da...",Pix,pix e transação que foi feito errado,boa noite fiz uma transação para uma conta bancária por erro meu que não existe mais e não ganhei nenhum suporte da parte da,"['pix', 'trans', 'feit', 'err']","['boa', 'noit', 'fiz', 'trans', 'cont', 'bancár', 'err', 'exist', 'ganh', 'nenhum', 'suport', 'part']",1,1
"Não consigo acessar minha conta, reconhecimento facial fica borrado","Troquei de celular faz pouco tempo e transferi todos meus app para o novo, depois disso nao consegui mais entrar no aplicativ...",Conta,não consigo acessar minha conta reconhecimento facial fica borrado,troquei de celular faz pouco tempo e transferi todos meus app para o novo depois disso nao consegui mais entrar no aplicativ,"['consig', 'acess', 'cont', 'reconhec', 'fac', 'fic', 'borr']","['troq', 'celul', 'faz', 'pouc', 'temp', 'transfer', 'tod', 'app', 'nov', 'diss', 'nao', 'consegu', 'entr', 'aplicativ']",1,1
Demora de Abertura de conta PJ,Serei breve! Mais de um mês esperando a empresa Nubank aprovar uma abertura conta PJ? Cheio de desculpas que depende de anál...,Conta,demora de abertura de conta pj,serei breve mais de um mês esperando a empresa nubank aprovar uma abertura conta pj cheio de desculpas que depende de anál,"['dem', 'abert', 'cont']","['brev', 'mê', 'esper', 'empr', 'nubank', 'aprov', 'abert', 'cont', 'chei', 'desculp', 'depend', 'anál']",3,1
Juros altos em empréstimo e dificuldade em renegociar.,Estava passando por um momento de dificuldade financeira e fiz empréstimo de 8 mil reais com o intuito de desafogar as divida...,Cartão de Crédito,juros altos em empréstimo e dificuldade em renegociar,estava passando por um momento de dificuldade financeira e fiz empréstimo de mil reais com o intuito de desafogar as divida,"['jur', 'alt', 'emprést', 'dificuldad', 'renegoci']","['pass', 'moment', 'dificuldad', 'financ', 'fiz', 'emprést', 'mil', 'real', 'intuit', 'desafog', 'div']",2,1
Juros,"Tenho um empréstimo, um valor bem pequeno. Mas atrasei, fiz várias negociações e paguei entrada e algumas parcelas. Atrasava ...",Cartão de Crédito,juros,tenho um empréstimo um valor bem pequeno mas atrasei fiz várias negociações e paguei entrada e algumas parcelas atrasava,['jur'],"['emprést', 'val', 'bem', 'pequen', 'atras', 'fiz', 'vár', 'negoci', 'pag', 'entr', 'algum', 'parcel', 'atras']",1,2
"Cartão pago com atraso,agora tenho limite e não posso usar o cartão tá bloqueado.",Cartão mesmo após ser pago possui limite porém o mesmo encontra-se bloqueado. Renata de Oliveira Vieira Miguel **...,Cartão de Crédito,cartão pago com atrasoagora tenho limite e não posso usar o cartão tá bloqueado,cartão mesmo após ser pago possui limite porém o mesmo encontrase bloqueado renata de oliveira vieira miguel,"['cart', 'pag', 'atrasoag', 'limit', 'poss', 'us', 'cart', 'bloque']","['cart', 'após', 'pag', 'possu', 'limit', 'porém', 'encontras', 'bloque', 'renat', 'oliv', 'vie', 'miguel']",1,1
Não consigo cancelar cobranças indevidas,"Quero cancelar uma assinatura irregular no meu cartão de crédito da Amazon prime, mas não consigo pois nem a nubank bloqueia ...",Segurança,não consigo cancelar cobranças indevidas,quero cancelar uma assinatura irregular no meu cartão de crédito da amazon prime mas não consigo pois nem a nubank bloqueia,"['consig', 'cancel', 'cobranç', 'indev']","['quer', 'cancel', 'assinat', 'irregul', 'cart', 'crédit', 'amazon', 'prim', 'consig', 'poi', 'nubank', 'bloque']",1,1
Limite,"Já fazem mais de 5 anos que tenho conta na Nubank, já cheguei a movimentar mais de 30 mil na conta todos os meses, mantenho s...",Cartão de Crédito,limite,já fazem mais de anos que tenho conta na nubank já cheguei a movimentar mais de mil na conta todos os meses mantenho s,['limit'],"['faz', 'ano', 'cont', 'nubank', 'cheg', 'moviment', 'mil', 'cont', 'tod', 'mes', 'mantenh']",1,5
Google smart media ap,"Hoje as 19:20 do dia 27, recebi uma notificação da Nubank informando uma compra de 14,99 na google smart media ap, ao qual nã...",Outros,google smart media ap,hoje as do dia recebi uma notificação da nubank informando uma compra de na google smart media ap ao qual nã,"['googl', 'smart', 'med']","['hoj', 'dia', 'receb', 'notific', 'nubank', 'inform', 'compr', 'googl', 'smart', 'med']",5,1
Extravio,Uma cliente passou o cartão de débito Nu Bank o dinheiro saiu da conta dela e não chegou na minha conta.,Outros,extravio,uma cliente passou o cartão de débito nu bank o dinheiro saiu da conta dela e não chegou na minha conta,['extravi'],"['client', 'pass', 'cart', 'débit', 'bank', 'dinh', 'saiu', 'cont', 'cheg', 'cont']",1,1
N consigo acessar minha conta,estou há quatro dias sem poder usar no Bank não sei mais o que fazer Já fiz tudo que eles me orientaram fazendo já autorizara...,Conta,n consigo acessar minha conta,estou há quatro dias sem poder usar no bank não sei mais o que fazer já fiz tudo que eles me orientaram fazendo já autorizara,"['consig', 'acess', 'cont']","['quatr', 'dia', 'pod', 'us', 'bank', 'sei', 'faz', 'fiz', 'tud', 'orient', 'faz', 'autoriz']",1,1
Inscrição indevida no registrado,Paguei um acordo com o banco .Ao entrar no registrado deparei esse acordo como prejuízo me impossibilitando de conseguir cr...,Segurança,inscrição indevida no registrado,paguei um acordo com o banco ao entrar no registrado deparei esse acordo como prejuízo me impossibilitando de conseguir cr,"['inscr', 'indev', 'registr']","['pag', 'acord', 'banc', 'entr', 'registr', 'dep', 'acord', 'prejuíz', 'impossibilit', 'consegu']",1,1
Estorno não feito,"Recebi meu salário hoje 27/02 na minha conta e mesmo acessando o app, não consigo usar meu saldo em conta.Pois me disse...",Outros,estorno não feito,recebi meu salário hoje na minha conta e mesmo acessando o app não consigo usar meu saldo em contapois me disse,"['estorn', 'feit']","['receb', 'salári', 'hoj', 'cont', 'acess', 'app', 'consig', 'us', 'sald', 'contapoil', 'diss']",1,1
Prejuízo,"limpei meu nome no aplicativo do serasa e mesmo assim meu nome está nos registros como prejuízo, já tentei fazer financiament...",Outros,prejuízo,limpei meu nome no aplicativo do serasa e mesmo assim meu nome está nos registros como prejuízo já tentei fazer financiament,['prejuíz'],"['limp', 'nom', 'aplic', 'seras', 'assim', 'nom', 'registr', 'prejuíz', 'tent', 'faz', 'financiament']",1,1
Foi feita duas compras no meu cartão virtual que não foi eu quem fiz,Hoje a tarde do dia 27 de fevereiro de 2025 eu recebi notificação no aplicativo que foram efetuadas duas compras online no me...,Cartão de Crédito,foi feita duas compras no meu cartão virtual que não foi eu quem fiz,hoje a tarde do dia de fevereiro de eu recebi notificação no aplicativo que foram efetuadas duas compras online no me,"['feit', 'dua', 'compr', 'cart', 'virtual', 'fiz']","['hoj', 'tard', 'dia', 'fever', 'receb', 'notific', 'aplic', 'efetu', 'dua', 'compr', 'onlin']",1,1
Nubank te trata como [Editado pelo Reclame Aqui],"Vou resumir e postar os prints pois já estou cansada da Nubank, pretendo pagar antecipadamente minhas faturas dos próximos me...",Outros,nubank te trata como editado pelo reclame aqui,vou resumir e postar os prints pois já estou cansada da nubank pretendo pagar antecipadamente minhas faturas dos próximos me,"['nubank', 'trat', 'edit', 'reclam', 'aqu']","['vou', 'resum', 'post', 'print', 'poi', 'cans', 'nubank', 'pret', 'pag', 'antecipad', 'fatur', 'próx']",5,1
Ameaça,Me mandaram uma notificação extra judicial me ameaçando. Eu já avisei voces por duas vezes uma por email e outra por aqui que...,Outros,ameaça,me mandaram uma notificação extra judicial me ameaçando eu já avisei voces por duas vezes uma por email e outra por aqui que,['ameaç'],"['mand', 'notific', 'extr', 'judic', 'ameaç', 'avis', 'voc', 'dua', 'vez', 'email', 'outr', 'aqu']",3,1
Ricardo,"Afirmo uma dívida em torno no valor de R$ 390,00, sendo que, estou muito interessado em pagar, mas ao meu ponto de vista estã...",Outros,ricardo,afirmo uma dívida em torno no valor de r sendo que estou muito interessado em pagar mas ao meu ponto de vista estã,['ricard'],"['afirm', 'dív', 'torn', 'val', 'send', 'interess', 'pag', 'pont', 'vist', 'estã']",5,3
Cancelamento das Minhas contas PJ e PF.,"Prezada equipe do Nubank,Venho por meio desta, expressar minha insatisfação e preocupação em relação ao bloqueio ...",Conta,cancelamento das minhas contas pj e pf,prezada equipe do nubankvenho por meio desta expressar minha insatisfação e preocupação em relação ao bloqueio,"['cancel', 'cont']","['prez', 'equip', 'nubankvenh', 'mei', 'dest', 'express', 'insatisf', 'preocup', 'relaç', 'bloquei']",1,1
Tiraram o dinheiro da minha conta,Tiraram o dinheiro da minha conta,Conta,tiraram o dinheiro da minha conta,tiraram o dinheiro da minha conta,"['tir', 'dinh', 'cont']","['tir', 'dinh', 'cont']",1,1
Recebi 4 cobranças de Panvel,"Recebi 4 cobranças no cartão de crédito de Panvel Matriz no sábado dia 22/02/2025:R$ 257,96 em 3x às 11:08R...",Outros,recebi cobranças de panvel,recebi cobranças no cartão de crédito de panvel matriz no sábado dia r em x às r,"['receb', 'cobranç', 'panvel']","['receb', 'cobranç', 'cart', 'crédit', 'panvel', 'matriz', 'sáb', 'dia']",1,1
Não consigo resgatar meus investimentos,"Invisto no Tesouro Direto por meio do Nubank desde 2018. Ontem, dia 26 de fevereiro de 2025, entrei no aplicativo do banco pa...",Investimentos,não consigo resgatar meus investimentos,invisto no tesouro direto por meio do nubank desde ontem dia de fevereiro de entrei no aplicativo do banco pa,"['consig', 'resgat', 'invest']","['invist', 'tesour', 'diret', 'mei', 'nubank', 'desd', 'ont', 'dia', 'fever', 'entr', 'aplic', 'banc']",1,5
Nu Bank Nó Cego,Eu contestei uma Fatura da Skay cobrada indevidamente em data anterior! No mês seguinte veio a cobrança Novamente! Alegou que...,Outros,nu bank nó cego,eu contestei uma fatura da skay cobrada indevidamente em data anterior no mês seguinte veio a cobrança novamente alegou que,"['bank', 'ceg']","['contest', 'fatur', 'skay', 'cobr', 'indevid', 'dat', 'anteri', 'mê', 'seguint', 'vei', 'cobranç', 'nov', 'aleg']",1,1
Nubank bloqueo meu cartão de crédito e estornou todo o valor que tinha em saldo,"Estava em minhas rotinas matinais fui fazer uma compra usando meu cartão de credito sem nenhum problema, não foi entrei para ...",Cartão de Crédito,nubank bloqueo meu cartão de crédito e estornou todo o valor que tinha em saldo,estava em minhas rotinas matinais fui fazer uma compra usando meu cartão de credito sem nenhum problema não foi entrei para,"['nubank', 'bloque', 'cart', 'crédit', 'estorn', 'tod', 'val', 'sald']","['rotin', 'mat', 'faz', 'compr', 'us', 'cart', 'credit', 'nenhum', 'problem', 'entr']",1,1
Nubank Não estorna valor de pedido de ordens em compra de Fundos Imobiliários,"Ontem, pela manhã, dia 26/02/2025, enviei um pedido de compra de um Fundo Imobiliário pelo Nubank. O pedido não foi executado...",Investimentos,nubank não estorna valor de pedido de ordens em compra de fundos imobiliários,ontem pela manhã dia enviei um pedido de compra de um fundo imobiliário pelo nubank o pedido não foi executado,"['nubank', 'estorn', 'val', 'ped', 'ord', 'compr', 'fund', 'imobili']","['ont', 'manhã', 'dia', 'envi', 'ped', 'compr', 'fund', 'imobili', 'nubank', 'ped', 'execut']",1,1
Construir Limite,Eu tenho esse cartão construir limite e já estou no terceiro ciclo e me aumentaram somente míseros 10 reais. Eu isso bastante...,Cartão de Crédito,construir limite,eu tenho esse cartão construir limite e já estou no terceiro ciclo e me aumentaram somente míseros reais eu isso bastante,"['constru', 'limit']","['cart', 'constru', 'limit', 'terc', 'cicl', 'aument', 'soment', 'míser', 'real', 'bast']",1,2
Atendimento via telefone não atende,"Entrei em contato com o Nubank para tentar ativar meu cartão de crédito na minha conta Google Wallet, pois pelo aplicativo es...",Atendimento,atendimento via telefone não atende,entrei em contato com o nubank para tentar ativar meu cartão de crédito na minha conta google wallet pois pelo aplicativo es,"['atend', 'via', 'telefon', 'atend']","['entr', 'contat', 'nubank', 'tent', 'ativ', 'cart', 'crédit', 'cont', 'googl', 'wallet', 'poi', 'aplic']",1,3
[Editado pelo Reclame Aqui] do pix,"Eu estou mexendo com auxílio doença com advogada, então na dará de hoje eu recebi uma mensagem via WhatsApp que eu tinha um v...",Pix,editado pelo reclame aqui do pix,eu estou mexendo com auxílio doença com advogada então na dará de hoje eu recebi uma mensagem via whatsapp que eu tinha um v,"['edit', 'reclam', 'aqu', 'pix']","['mex', 'auxíli', 'doenç', 'advog', 'ent', 'dar', 'hoj', 'receb', 'mens', 'via', 'whatsapp']",5,1
Boa noite não recebi meu cartão nubank e fala como se tiver feito,Boa noite fui notificado pelo e-mail que recebi meu cartão nubank porém não recebi.,Cartão de Crédito,boa noite não recebi meu cartão nubank e fala como se tiver feito,boa noite fui notificado pelo email que recebi meu cartão nubank porém não recebi,"['boa', 'noit', 'receb', 'cart', 'nubank', 'fal', 'feit']","['boa', 'noit', 'notific', 'email', 'receb', 'cart', 'nubank', 'porém', 'receb']",5,1
Compra duplicada pela empresa MUVIFLEX,Efetuei compra de passagem de ônibus via muviflex no dia 24/2/25. A compra foi duplicada pela empresa muviflex que solicitou ...,Outros,compra duplicada pela empresa muviflex,efetuei compra de passagem de ônibus via muviflex no dia a compra foi duplicada pela empresa muviflex que solicitou,"['compr', 'duplic', 'empr', 'muviflex']","['efet', 'compr', 'pass', 'ônibu', 'via', 'muviflex', 'dia', 'compr', 'duplic', 'empr', 'muviflex', 'solicit']",1,1
Encerramento de Conta,"Verificando no Registrato do Banco Central, percebi que ainda existe uma conta em meu nome nesta instituição.62.1...",Conta,encerramento de conta,verificando no registrato do banco central percebi que ainda existe uma conta em meu nome nesta instituição,"['encerr', 'cont']","['verific', 'registrat', 'banc', 'centr', 'perceb', 'aind', 'exist', 'cont', 'nom', 'nest', 'institu']",1,1
Erro na transferencia de CDB,Novamente preciso entrar em contato por aqui porque os atendentes do chat não tem a capacidade de entender o que escrevemos.,Pagamentos,erro na transferencia de cdb,novamente preciso entrar em contato por aqui porque os atendentes do chat não tem a capacidade de entender o que escrevemos,"['err', 'transferenc', 'cdb']","['nov', 'precis', 'entr', 'contat', 'aqu', 'porqu', 'atend', 'chat', 'capac', 'entend', 'escrev']",1,3
NETFLIX DEBITO INDEVIDO,"JÁ INFORMEI O CANCELAMENTO DA ASSINATURA E VCS CONTINUAM DEBITANDO DO CC R$ 59,90, ATÉ QUANDO ?QUANTA...",Pagamentos,netflix debito indevido,já informei o cancelamento da assinatura e vcs continuam debitando do cc r até quando quanta,"['netflix', 'debit', 'indev']","['inform', 'cancel', 'assinat', 'vc', 'continu', 'debit', 'quant']",1,1
Cancelamento de Conta,"Fiz a conta digital, foi um sofrimento fazer reconhecimento facial, por fim finalizei, chegou o cartão em minha casa, ao entr...",Conta,cancelamento de conta,fiz a conta digital foi um sofrimento fazer reconhecimento facial por fim finalizei chegou o cartão em minha casa ao entr,"['cancel', 'cont']","['fiz', 'cont', 'digit', 'sofr', 'faz', 'reconhec', 'fac', 'fim', 'finaliz', 'cheg', 'cart', 'cas', 'entr']",1,1
NUBANK SE NEGA A ENVIAR COMPROVANTES DE DEVOLUÇÃO,"Boa tarde! estou solicitando de forma continua e alguns dias, o envio do Comprovante Completo de Devolução de um pix efetuado...",Outros,nubank se nega a enviar comprovantes de devolução,boa tarde estou solicitando de forma continua e alguns dias o envio do comprovante completo de devolução de um pix efetuado,"['nubank', 'neg', 'envi', 'comprov', 'devoluç']","['boa', 'tard', 'solicit', 'form', 'continu', 'algum', 'dia', 'envi', 'comprov', 'complet', 'devoluç', 'pix', 'efetu']",1,1
Fiz o acordo e quitei minha dívida,"Sou cliente do banco a mais de 8 anos,uso ele para tudo o que preciso,fiquei desempregada aí não consegui honrar as minhas dú...",Outros,fiz o acordo e quitei minha dívida,sou cliente do banco a mais de anosuso ele para tudo o que precisofiquei desempregada aí não consegui honrar as minhas dú,"['fiz', 'acord', 'quit', 'dív']","['client', 'banc', 'anosus', 'tud', 'precisofiq', 'desempreg', 'consegu', 'honr']",5,1
Pendência Registrato,"Realizei a liquidação dos débitos em abertos com o Nubank, porém a dívida ainda continua aparecendo no Registrato. Preciso de...",Outros,pendência registrato,realizei a liquidação dos débitos em abertos com o nubank porém a dívida ainda continua aparecendo no registrato preciso de,"['pend', 'registrat']","['realiz', 'liquid', 'débit', 'abert', 'nubank', 'porém', 'dív', 'aind', 'continu', 'aparec', 'registrat', 'precis']",1,3
Venda BTHF11,"Desde dezembro quando o fundo BTHF11 passou a ser negociado no app do Nubank, venho tentando vender as ações mas não consigo...",Outros,venda bthf,desde dezembro quando o fundo bthf passou a ser negociado no app do nubank venho tentando vender as ações mas não consigo,"['vend', 'bthf']","['desd', 'dezembr', 'fund', 'bthf', 'pass', 'negoci', 'app', 'nubank', 'venh', 'tent', 'vend', 'açõ', 'consig']",5,1
Bloqueio indevido das contas pessoa física e jurídica,Boa tarde tudo bem sou o Tiago tenho duas contas física e outra PJ e o que ocorreu bloquearam a minha as minhas duas contas q...,Conta,bloqueio indevido das contas pessoa física e jurídica,boa tarde tudo bem sou o tiago tenho duas contas física e outra pj e o que ocorreu bloquearam a minha as minhas duas contas q,"['bloquei', 'indev', 'cont', 'pesso', 'físic', 'juríd']","['boa', 'tard', 'tud', 'bem', 'tiag', 'dua', 'cont', 'físic', 'outr', 'ocorr', 'bloque', 'dua', 'cont']",1,3
Nubank não faz reembolso,"Fiz uma compra através do Rappi, no Supermercado Carrefour, no valor de R$57,07, no dia 20/02/25. Quando fizeram a separação ...",Outros,nubank não faz reembolso,fiz uma compra através do rappi no supermercado carrefour no valor de r no dia quando fizeram a separação,"['nubank', 'faz', 'reembols']","['fiz', 'compr', 'através', 'rapp', 'supermerc', 'carrefour', 'val', 'dia', 'fiz', 'separ']",1,1
Saldo sumiu da conta,"Eu tava com um dinheiro na conta de pagar a fatura aí quando chegou no dia, quando eu ia pagar o dinheiro sumiu, aí já tentei...",Conta,saldo sumiu da conta,eu tava com um dinheiro na conta de pagar a fatura aí quando chegou no dia quando eu ia pagar o dinheiro sumiu aí já tentei,"['sald', 'sum', 'cont']","['tav', 'dinh', 'cont', 'pag', 'fatur', 'cheg', 'dia', 'pag', 'dinh', 'sum', 'tent']",1,1
Não querem cancelar a compra,"No dia 04 de fevereiro às 21:13 realizei a compra de um sutiã no valor de 139,90 pela loja Cygnuss Lingerie. O produto com es...",Outros,não querem cancelar a compra,no dia de fevereiro às realizei a compra de um sutiã no valor de pela loja cygnuss lingerie o produto com es,"['quer', 'cancel', 'compr']","['dia', 'fever', 'realiz', 'compr', 'sutiã', 'val', 'loj', 'cygnus', 'lingeri', 'produt']",1,1
Cobranças indevidas,O Nubank recusa fazer devolução de compras canceladas e abater valor PAGO em fatura corretamente. 1- Fiz 2 pagame...,Segurança,cobranças indevidas,o nubank recusa fazer devolução de compras canceladas e abater valor pago em fatura corretamente fiz pagame,"['cobranç', 'indev']","['nubank', 'recus', 'faz', 'devoluç', 'compr', 'cancel', 'abat', 'val', 'pag', 'fatur', 'corret', 'fiz', 'pagam']",1,1
Entrega do meu cartão de crédito,Eu vi no aplicativo que o meu cartão tá com o entregador sendo que eles nunca vem pro meu endereço sempre dizem que houve fal...,Cartão de Crédito,entrega do meu cartão de crédito,eu vi no aplicativo que o meu cartão tá com o entregador sendo que eles nunca vem pro meu endereço sempre dizem que houve fal,"['entreg', 'cart', 'crédit']","['aplic', 'cart', 'entreg', 'send', 'nunc', 'vem', 'pro', 'endereç', 'sempr', 'diz', 'fal']",1,1
"Compra de um tablet na Amazon, cujo valor foi estornado devido cancelamento do vendedor e a Nubank não devolveu o dinheiro para minha irmã, titular do cartão utilizado.","Eu me chamo Eurana, fiz uma compra na empresa Amazon no dia 30/11/2024 no valor de R$ 961,86. O valor refere-se a compra de u...",Cartão de Crédito,compra de um tablet na amazon cujo valor foi estornado devido cancelamento do vendedor e a nubank não devolveu o dinheiro para minha irmã titular do cartão utilizado,eu me chamo eurana fiz uma compra na empresa amazon no dia no valor de r o valor referese a compra de u,"['compr', 'tablet', 'amazon', 'cuj', 'val', 'estorn', 'dev', 'cancel', 'vend', 'nubank', 'devolv', 'dinh', 'irmã', 'titul', 'cart', 'utiliz']","['ch', 'euran', 'fiz', 'compr', 'empr', 'amazon', 'dia', 'val', 'val', 'referes', 'compr']",1,1
Minha decepção com o nubank,"No dia 18 de fevereiro,as11:20 aproximadamente,recebi uma ligação,como se fosse da central da nubank, dizendo que estavam ten...",Outros,minha decepção com o nubank,no dia de fevereiroas aproximadamenterecebi uma ligaçãocomo se fosse da central da nubank dizendo que estavam ten,"['decepç', 'nubank']","['dia', 'fevereiro', 'aproximadamentereceb', 'ligaçãoc', 'centr', 'nubank', 'diz', 'ten']",1,1
Xbox Game pass Core - Propaganda Enganosa,"Bom dia,Fiz a compra de 12 meses de assinatura do Gamepass Core por revenda oficial direto do Nubank, recebi o có...",Outros,xbox game pass core propaganda enganosa,bom diafiz a compra de meses de assinatura do gamepass core por revenda oficial direto do nubank recebi o có,"['xbox', 'gam', 'pas', 'cor', 'propagand', 'engan']","['bom', 'diafiz', 'compr', 'mes', 'assinat', 'gamepas', 'cor', 'revend', 'ofic', 'diret', 'nubank', 'receb']",1,5
Minha conta foi desativada,Não consigo reativar minha conta,Conta,minha conta foi desativada,não consigo reativar minha conta,"['cont', 'desativ']","['consig', 'reativ', 'cont']",1,2
Falha na Devolução de PIX Neon Não Resolve o Problema,"Descrição:No dia 27/02/2025, realizei uma transferência via PIX da minha conta Nubank para uma conta da Neon, por...",Pix,falha na devolução de pix neon não resolve o problema,descriçãono dia realizei uma transferência via pix da minha conta nubank para uma conta da neon por,"['falh', 'devoluç', 'pix', 'neon', 'resolv', 'problem']","['descriçãon', 'dia', 'realiz', 'transfer', 'via', 'pix', 'cont', 'nubank', 'cont', 'neon']",1,1
Limite de cartão de crédito diminuído do nada,"Bom eu tenho o cartão de crédito deles a um tempinho ja , o meu limite foi aumentando com o tempo ate q chegou me um limite b...",Cartão de Crédito,limite de cartão de crédito diminuído do nada,bom eu tenho o cartão de crédito deles a um tempinho ja o meu limite foi aumentando com o tempo ate q chegou me um limite b,"['limit', 'cart', 'crédit', 'diminu', 'nad']","['bom', 'cart', 'crédit', 'temp', 'limit', 'aument', 'temp', 'ate', 'cheg', 'limit']",1,4
Nubank colocou meu nome no registrato,Nubank colocou meu nome no registrato a lista negra dos bancos e isso cabe processo por danos morais peço por favor que retir...,Outros,nubank colocou meu nome no registrato,nubank colocou meu nome no registrato a lista negra dos bancos e isso cabe processo por danos morais peço por favor que retir,"['nubank', 'coloc', 'nom', 'registrat']","['nubank', 'coloc', 'nom', 'registrat', 'list', 'negr', 'banc', 'cab', 'process', 'dan', 'moral', 'peç', 'favor', 'ret']",1,1
Juros alto na nubank,"Atrasei algumas parcelas do cartão de crédito, porém sempre renegociei, quando posso, porém faz um ano que venho sempre negoc...",Cartão de Crédito,juros alto na nubank,atrasei algumas parcelas do cartão de crédito porém sempre renegociei quando posso porém faz um ano que venho sempre negoc,"['jur', 'alt', 'nubank']","['atras', 'algum', 'parcel', 'cart', 'crédit', 'porém', 'sempr', 'renegoci', 'poss', 'porém', 'faz', 'ano', 'venh', 'sempr', 'negoc']",1,2
Acesso aos meus investimentos,"Não consigo resgatar meus investimentos, recebei um e-mail do Nubank informando que eu precisava ligar para os seguintes núme...",Investimentos,acesso aos meus investimentos,não consigo resgatar meus investimentos recebei um email do nubank informando que eu precisava ligar para os seguintes núme,"['acess', 'invest']","['consig', 'resgat', 'invest', 'receb', 'email', 'nubank', 'inform', 'precis', 'lig', 'seguint', 'núm']",4,1
Situação constrangedora,"A algumas semanas estou tentando passar meu cartão de debito em alguns lugares passam em outros não, bem constrangedor esta s...",Outros,situação constrangedora,a algumas semanas estou tentando passar meu cartão de debito em alguns lugares passam em outros não bem constrangedor esta s,"['situ', 'constrang']","['algum', 'seman', 'tent', 'pass', 'cart', 'debit', 'algum', 'lug', 'pass', 'outr', 'bem', 'constrang']",3,2
Estou sendo prejudicado,"Tenho comércio, e já fazem dois dias que estou enfrentando problemas com esse banco (NUBANK). Tive minha conta bloqueada com ...",Outros,estou sendo prejudicado,tenho comércio e já fazem dois dias que estou enfrentando problemas com esse banco nubank tive minha conta bloqueada com,"['send', 'prejudic']","['comérci', 'faz', 'doi', 'dia', 'enfrent', 'problem', 'banc', 'nubank', 'cont', 'bloque']",1,1
"Tô pedindo só mais 200 de limite,não é algo impossível,esperar até julho pra analisar,se pago minhas faturas certinho tudo mês","Tô usando o nubank,adoro a praticidade e o atendimento do pessoal,mas tô insatisfeito com meu limite,desde quando fiz meu car...",Cartão de Crédito,tô pedindo só mais de limitenão é algo impossívelesperar até julho pra analisarse pago minhas faturas certinho tudo mês,tô usando o nubankadoro a praticidade e o atendimento do pessoalmas tô insatisfeito com meu limitedesde quando fiz meu car,"['ped', 'limiten', 'alg', 'impossívelesper', 'julh', 'pra', 'analisars', 'pag', 'fatur', 'cert', 'tud', 'mê']","['us', 'nubankador', 'pratic', 'atend', 'pessoalm', 'insatisfeit', 'limitedesd', 'fiz', 'car']",1,2
cobrança indevida,"FIZ UMA ANTECIPAÇÃO DA ULTIMA PARCELA DA MINHA FATURA,O SISTEMA DEU DESCONTO E DISSE QUE NA PROXIMA FATURA VINHA PRA EU PAGAR...",Segurança,cobrança indevida,fiz uma antecipação da ultima parcela da minha faturao sistema deu desconto e disse que na proxima fatura vinha pra eu pagar,"['cobranç', 'indev']","['fiz', 'antecip', 'ult', 'parcel', 'fatura', 'sistem', 'deu', 'descont', 'diss', 'prox', 'fatur', 'vinh', 'pra', 'pag']",1,1
Baixa de pagamento,Na na data de ontem eu precisei fazer um pagamento de boleto para depositar valores na conta do nubank porque eu tinha ultrap...,Pagamentos,baixa de pagamento,na na data de ontem eu precisei fazer um pagamento de boleto para depositar valores na conta do nubank porque eu tinha ultrap,"['baix', 'pag']","['dat', 'ont', 'precis', 'faz', 'pag', 'bolet', 'depos', 'val', 'cont', 'nubank', 'porqu', 'ultrap']",1,1
Solicitação de remoção de consultas no CPF sem autorização,"Prezados,Gostaria de registrar minha insatisfação em relação às consultas realizadas em meu CPF por parte do Nuba...",Outros,solicitação de remoção de consultas no cpf sem autorização,prezadosgostaria de registrar minha insatisfação em relação às consultas realizadas em meu cpf por parte do nuba,"['solicit', 'remoç', 'consult', 'cpf', 'autor']","['prezadosgost', 'registr', 'insatisf', 'relaç', 'consult', 'realiz', 'cpf', 'part', 'nub']",1,1
Dívida paga ainda consta no Serasa,Fiz o pagamento de uma dívida/acordo no dia 28/08/2024 e ainda ainda consta no Serasa. Estou sendo prejudicada e corro risco ...,Outros,dívida paga ainda consta no serasa,fiz o pagamento de uma dívidaacordo no dia e ainda ainda consta no serasa estou sendo prejudicada e corro risco,"['dív', 'pag', 'aind', 'const', 'seras']","['fiz', 'pag', 'dívidaacord', 'dia', 'aind', 'aind', 'const', 'seras', 'send', 'prejudic', 'corr', 'risc']",3,1
